title,console,brand,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,eu_sales,pal_sales,other_sales,release_date,decade
Disney's Chicken Little: Ace In Action,Wii,Nintendo,Shooter,Buena Vista,Avalanche Software,7.6,0.1,0.09,0.0,0.0,0.0,0.01,2006,2000
Naruto Shippuuden: Gekitou Ninja Taisen! EX,Wii,Nintendo,Fighting,Takara Tomy,8ing/Raizing,,0.1,0.0,0.1,0.0,0.0,0.0,2007,2000
Luminous Arc 2 (JP sales),DS,Nintendo,Role-Playing,Atlus,imageepoch Inc.,,0.1,0.0,0.1,0.0,0.0,0.0,2008,2000
My Healthy Cooking Coach,DS,Nintendo,Simulation,Ubisoft,Ubisoft,,0.1,0.09,0.0,0.0,0.0,0.01,2009,2000
Kamen Rider: Climax Heroes W,Wii,Nintendo,Fighting,Namco Bandai,Eighting,,0.1,0.0,0.1,0.0,0.0,0.0,2009,2000
Pro Yakyuu Spirits 2010,PS2,Sony,Sports,Konami,PawaPuro Production,,0.1,0.0,0.1,0.0,0.0,0.0,2010,2010
The Legend of Heroes: Trails in the Sky,PSP,Sony,Role-Playing,Xseed Games,Nihon Falcom Corporation,8.1,0.1,0.06,0.03,0.0,0.0,0.0,2011,2010
Nicktoons MLB,DS,Nintendo,Sports,2K Sports,2K Sports,,0.1,0.09,0.0,0.0,0.0,0.01,2011,2010
Happy Feet Two,X360,Microsoft,Adventure,Warner Bros. Interactive,KMM Games,,0.1,0.08,0.0,0.0,0.01,0.01,2011,2010
Michael Jackson The Experience HD,PSV,Sony,Misc,Ubisoft,Longtail Studios,,0.1,0.04,0.0,0.0,0.04,0.02,2012,2010
Mobile Suit Gundam Unicorn,PS3,Sony,Action,Namco Bandai Games,From Software,,0.1,0.0,0.1,0.0,0.0,0.0,2012,2010
Surge Concerto: Ciel nosurge,PSV,Sony,Simulation,Gust,Gust,,0.1,0.0,0.1,0.0,0.0,0.0,2012,2010
Macross 30: Voices across the Galaxy,PS3,Sony,Action,Namco Bandai Games,ArtDink,,0.1,0.0,0.1,0.0,0.0,0.0,2013,2010
Dead or Alive 5 Plus,PSV,Sony,Fighting,Tecmo Koei,Team Ninja,8.0,0.1,0.0,0.03,0.0,0.06,0.02,2013,2010
Little Battlers eXperience W Super Custom,3DS,Nintendo,Role-Playing,Level 5,Level 5,,0.1,0.0,0.1,0.0,0.0,0.0,2013,2010
Angry Birds: Star Wars,WiiU,Nintendo,Puzzle,Activision,Exient Entertainment,,0.1,0.05,0.0,0.0,0.04,0.01,2013,2010
Kuroko no Basuke: Miracles to Victory,3DS,Nintendo,Sports,Namco Bandai Games,Bandai Namco Games,,0.1,0.0,0.1,0.0,0.0,0.0,2014,2010
Dead or Alive 5 Last Round,XOne,Microsoft,Fighting,Tecmo Koei,Team Ninja,7.5,0.1,0.05,0.01,0.0,0.03,0.01,2015,2010
Devil May Cry 4 Special Edition,PS4,Sony,Action,Capcom,Capcom,,0.1,0.01,0.09,0.0,0.0,0.0,2015,2010
Hyperdimension Neptunia Re;Birth 3: V Generation,PSV,Sony,Action,Idea Factory International,Compile Heart,,0.1,0.05,0.0,0.0,0.02,0.02,2015,2010
NHL-Legacy Edition,X360,Microsoft,Sports,EA Sports,EA Canada,,0.1,0.09,0.0,0.0,0.0,0.01,2015,2010
Resident Evil: Origins Collection,XOne,Microsoft,Action-Adventure,Capcom,Capcom,,0.1,0.07,0.0,0.0,0.02,0.01,2016,2010
Romance of the Three Kingdoms XIII,PS4,Sony,Action,Tecmo Koei,Koei Tecmo Games,,0.1,0.03,0.06,0.0,0.0,0.01,2016,2010
Resident Evil 4,PS4,Sony,Action-Adventure,Capcom,Capcom,,0.1,0.07,0.01,0.0,0.0,0.02,2016,2010
Pac-Man Championship Edition 2 + Arcade Game Series,PS4,Sony,Action,Namco Bandai Games,Namco Bandai Games,,0.1,0.08,0.0,0.0,0.0,0.02,2017,2010
Stardew Valley,PS4,Sony,Simulation,505 Games,ConcernedApe,8.8,0.1,0.04,0.0,0.0,0.04,0.02,2017,2010
Yooka-Laylee,XOne,Microsoft,Platform,Sold Out,Playtonic Games,,0.1,0.05,0.0,0.0,0.04,0.01,2017,2010
Puyo Puyo Tetris,PS4,Sony,Puzzle,Sega,Sonic Team,,0.1,0.05,0.0,0.0,0.03,0.02,2017,2010
Guilty Gear Xrd REV 2,PS4,Sony,Fighting,Aksys Games,Arc System Works,,0.1,0.04,0.03,0.0,0.01,0.01,2017,2010
Final Fantasy XIV Online Complete Edition,PS4,Sony,MMO,Square Enix,Square Enix,,0.1,0.07,0.02,0.0,0.0,0.02,2017,2010
Accel World vs. Sword Art Online: Millennium Twilight,PS4,Sony,Action,Namco Bandai Games,Namco Bandai Games,,0.1,0.0,0.06,0.0,0.03,0.01,2017,2010
Mega Man Legacy Collection 2,PS4,Sony,Action,Capcom,Capcom,,0.1,0.06,0.02,0.0,0.0,0.01,2017,2010
Troll and I,NS,Nintendo,Action,Maximum Games,Spiral House,,0.1,0.05,0.0,0.0,0.04,0.01,2017,2010
Sudden Strike 4,PS4,Sony,Strategy,Kalypso Media,Kite Games,,0.1,0.05,0.01,0.0,0.03,0.02,2017,2010
Wolfenstein The Two Pack,PS4,Sony,Shooter,Bethesda Softworks,MachineGames,,0.1,0.08,0.0,0.0,0.0,0.02,2017,2010
Warriors All-Stars,PS4,Sony,Action,Tecmo Koei,Omega Force,,0.1,0.03,0.06,0.0,0.0,0.01,2017,2010
Utawarerumono: Mask of Truth,PSV,Sony,Visual Novel,Atlus,Aqua Plus,,0.1,0.01,0.08,0.0,0.0,0.0,2017,2010
Just Dance 2018,X360,Microsoft,Music,Ubisoft,Ubisoft Paris,,0.1,0.06,0.0,0.0,0.03,0.01,2017,2010
Real Farm,XOne,Microsoft,Simulation,Soedesco,Triangle Studios,,0.1,0.08,0.0,0.0,0.0,0.01,2017,2010
Sumikko Gurashi: Sumikko Park e Youkoso,NS,Nintendo,Misc,Nippon Columbia,Nippon Columbia,,0.1,0.0,0.1,0.0,0.0,0.0,2017,2010
The Seven Deadly Sins: Knights of Britannia,PS4,Sony,Fighting,Bandai Namco Entertainment,Natsume Atari,,0.1,0.05,0.02,0.0,0.02,0.01,2018,2010
Sword Art Online: Fatal Bullet,XOne,Microsoft,Role-Playing,Namco Bandai Games,Dimps Corporation,,0.1,0.09,0.0,0.0,0.0,0.01,2018,2010
The Elder Scrolls Online: Summerset,PS4,Sony,MMO,Bethesda Softworks,ZeniMax Online Studios,7.5,0.1,0.08,0.0,0.0,0.0,0.02,2018,2010
Sega Genesis Classics,XOne,Microsoft,Misc,Sega,Sega,,0.1,0.06,0.0,0.0,0.03,0.01,2018,2010
Slime Rancher,PS4,Sony,Simulation,Skybound Games,Monomi Park,,0.1,0.08,0.0,0.0,0.0,0.02,2018,2010
Zone of the Enders: The 2nd Runner MARS,PS4,Sony,Simulation,Konami,Cygames,,0.1,0.05,0.03,0.0,0.01,0.01,2018,2010
Slime Rancher,XOne,Microsoft,Simulation,Skybound Games,Monomi Park,,0.1,0.08,0.0,0.0,0.0,0.01,2018,2010
NASCAR Heat 3,XOne,Microsoft,Racing,704Games,Monster Games,,0.1,0.09,0.0,0.0,0.0,0.01,2018,2010
Starlink: Battle for Atlas,PS4,Sony,Action-Adventure,Ubisoft,Ubisoft Toronto,,0.1,0.08,0.0,0.0,0.0,0.02,2018,2010
Starlink: Battle for Atlas,XOne,Microsoft,Action-Adventure,Ubisoft,Ubisoft Toronto,,0.1,0.09,0.0,0.0,0.0,0.01,2018,2010
Just Dance 2019,WiiU,Nintendo,Music,Ubisoft,Ubisoft Paris,,0.1,0.06,0.0,0.0,0.03,0.01,2018,2010
Déraciné,PS4,Sony,Adventure,Sony Interactive Entertainment,From Software,,0.1,0.07,0.01,0.0,0.0,0.02,2018,2010
Battlefield V,PC,PC,Shooter,Electronic Arts,EA DICE,,0.1,0.0,0.0,0.0,0.09,0.01,2018,2010
Persona Q2: New Cinema Labyrinth,3DS,Nintendo,Role-Playing,Atlus,Atlus,,0.1,0.0,0.1,0.0,0.0,0.0,2019,2010
Lethal Enforcers,SNES,Nintendo,Shooter,Konami Digital Entertainment,Unknown,,0.09,0.0,0.09,0.0,0.0,0.0,1993,1990
Clockwork Knight,SAT,Sega,Platform,Sega,Unknown,,0.09,0.0,0.09,0.0,0.0,0.0,1994,1990
Cyberia,PS,Sony,Action,Interplay,Unknown,,0.09,0.05,0.0,0.03,0.0,0.01,1995,1990
Detana TwinBee Yahho! Deluxe Pack,PS,Sony,Shooter,Konami Digital Entertainment,Unknown,,0.09,0.0,0.08,0.0,0.0,0.01,1995,1990
Rapid Reload,PS,Sony,Shooter,Sony Computer Entertainment,Unknown,,0.09,0.0,0.09,0.0,0.0,0.01,1995,1990
Shockwave Assault,PS,Sony,Simulation,Electronic Arts,Unknown,,0.09,0.05,0.0,0.04,0.0,0.01,1995,1990
X-COM: UFO Defense,PS,Sony,Strategy,Microprose,Unknown,,0.09,0.05,0.0,0.04,0.0,0.01,1995,1990
Dragon Ball Z: Shin Butouden,SAT,Sega,Fighting,Namco Bandai Games,Unknown,,0.09,0.0,0.09,0.0,0.0,0.0,1995,1990
Virtua Fighter CG Portrait Series Vol.3: Akira Yuki,SAT,Sega,Misc,Sega,Unknown,,0.09,0.0,0.09,0.0,0.0,0.0,1995,1990
Castlevania Dracula X,SNES,Nintendo,Platform,Konami Digital Entertainment,Unknown,,0.09,0.03,0.05,0.01,0.0,0.0,1995,1990
Terranigma,SNES,Nintendo,Role-Playing,Nintendo,Unknown,,0.09,0.0,0.09,0.0,0.0,0.0,1995,1990
Mahjong Master,N64,Nintendo,Misc,Konami Digital Entertainment,Unknown,,0.09,0.0,0.09,0.0,0.0,0.0,1996,1990
Saikyou Habu Shogi,N64,Nintendo,Misc,Seta Corporation,Unknown,,0.09,0.0,0.06,0.0,0.0,0.03,1996,1990
Bogey: Dead 6,PS,Sony,Simulation,Sony Computer Entertainment,Unknown,,0.09,0.05,0.0,0.04,0.0,0.01,1996,1990
Return Fire,PS,Sony,Strategy,Time Warner Interactive,Unknown,,0.09,0.05,0.0,0.03,0.0,0.01,1996,1990
Sotsugyou Crossworld,PS,Sony,Simulation,Hearty Robin,Unknown,,0.09,0.0,0.08,0.0,0.0,0.01,1996,1990
Tunnel B1,PS,Sony,Action,Ocean,Unknown,,0.09,0.05,0.0,0.03,0.0,0.01,1996,1990
Codename Tenka,PS,Sony,Shooter,Psygnosis,Unknown,,0.09,0.05,0.0,0.03,0.0,0.01,1997,1990
Porsche Challenge,PS,Sony,Racing,Sony Computer Entertainment,Unknown,,0.09,0.05,0.0,0.03,0.0,0.01,1997,1990
Rosco McQueen: Firefighter Extreme,PS,Sony,Action,Sony Computer Entertainment,Unknown,,0.09,0.05,0.0,0.04,0.0,0.01,1997,1990
Running Wild,PS,Sony,Racing,989 Studios,Unknown,,0.09,0.05,0.0,0.03,0.0,0.01,1997,1990
Wing Commander IV: The Price of Freedom,PS,Sony,Simulation,Origin Systems,Unknown,,0.09,0.05,0.0,0.03,0.0,0.01,1997,1990
Golden Nugget 64,N64,Nintendo,Misc,Electronic Arts,Unknown,,0.09,0.07,0.0,0.02,0.0,0.0,1998,1990
Robotron 64,N64,Nintendo,Shooter,GT Interactive,Unknown,,0.09,0.07,0.0,0.02,0.0,0.0,1998,1990
V-Rally Edition 99,N64,Nintendo,Racing,Infogrames,Unknown,,0.09,0.07,0.0,0.02,0.0,0.0,1998,1990
